core_status,source_name,count
core,Nature Machine Intelligence,22
core,Artificial Intelligence Review,14
core,Expert Systems with Applications,14
core,Neural Computing and Applications,13
core,International Journal of Information Management,12
core,Neurocomputing,8
core,Frontiers in Artificial Intelligence,6
core,Applied Artificial Intelligence,5
core,Expert Systems,5
core,Journal of Intelligent Manufacturing,5
core,Neural Networks,5
core,Applied Intelligence,4
core,Pattern Recognition,4
core,Artificial Intelligence,3
core,Artificial Intelligence and Law,3
core,Artificial Intelligence in Medicine,3
core,Engineering Applications of Artificial Intelligence,3
core,International Journal of Computer Vision,3
core,Knowledge-Based Systems,3
core,Machine Learning,3
core,Minds and Machines,3
core,Pattern Recognition Letters,3
core,Computers in Human Behavior Reports,2
core,Drones,2
core,Energy and AI,2
core,International Journal of Intelligent Systems,2
core,International Journal of Interactive Multimedia and Artificial Intelligence,2
core,Neural Processing Letters,2
core,Quantum Machine Intelligence,2
core,Advanced Engineering Informatics,1
core,Applied Computational Intelligence and Soft Computing,1
core,Big Data and Cognitive Computing,1
core,CAAI Transactions on Intelligence Technology,1
core,Computational Intelligence,1
core,Discover Artificial Intelligence,1
core,International Journal of Information Management Data Insights,1
core,Journal of Reliable Intelligent Environments,1
core,Knowledge and Information Systems,1
core,Machine Learning and Knowledge Extraction,1
core,Robotics,1
noncore,AI & Society,15
noncore,Computers and Education Artificial Intelligence,13
noncore,KI - KÃ¼nstliche Intelligenz,3
noncore,Law Innovation and Technology,2
noncore,AI,1
noncore,Complex & Intelligent Systems,1
noncore,Cybernetics & Systems,1
noncore,Internet of Things,1
noncore,Journal of Intelligent & Robotic Systems,1
noncore,Machine Learning Science and Technology,1
noncore,The Knowledge Engineering Review,1
